"","steps","date","interval","DateForm","Day","DayType"
"1",1.71698113207547,"2012-10-01","0",2012-10-01,"Monday","Weekday"
"2",0.339622641509434,"2012-10-01","5",2012-10-01,"Monday","Weekday"
"3",0.132075471698113,"2012-10-01","10",2012-10-01,"Monday","Weekday"
"4",0.150943396226415,"2012-10-01","15",2012-10-01,"Monday","Weekday"
"5",0.0754716981132075,"2012-10-01","20",2012-10-01,"Monday","Weekday"
"6",2.09433962264151,"2012-10-01","25",2012-10-01,"Monday","Weekday"
"7",0.528301886792453,"2012-10-01","30",2012-10-01,"Monday","Weekday"
"8",0.867924528301887,"2012-10-01","35",2012-10-01,"Monday","Weekday"
"9",0,"2012-10-01","40",2012-10-01,"Monday","Weekday"
"10",1.47169811320755,"2012-10-01","45",2012-10-01,"Monday","Weekday"
"11",0.30188679245283,"2012-10-01","50",2012-10-01,"Monday","Weekday"
"12",0.132075471698113,"2012-10-01","55",2012-10-01,"Monday","Weekday"
"13",0.320754716981132,"2012-10-01","100",2012-10-01,"Monday","Weekday"
"14",0.679245283018868,"2012-10-01","105",2012-10-01,"Monday","Weekday"
"15",0.150943396226415,"2012-10-01","110",2012-10-01,"Monday","Weekday"
"16",0.339622641509434,"2012-10-01","115",2012-10-01,"Monday","Weekday"
"17",0,"2012-10-01","120",2012-10-01,"Monday","Weekday"
"18",1.11320754716981,"2012-10-01","125",2012-10-01,"Monday","Weekday"
"19",1.83018867924528,"2012-10-01","130",2012-10-01,"Monday","Weekday"
"20",0.169811320754717,"2012-10-01","135",2012-10-01,"Monday","Weekday"
"21",0.169811320754717,"2012-10-01","140",2012-10-01,"Monday","Weekday"
"22",0.377358490566038,"2012-10-01","145",2012-10-01,"Monday","Weekday"
"23",0.264150943396226,"2012-10-01","150",2012-10-01,"Monday","Weekday"
"24",0,"2012-10-01","155",2012-10-01,"Monday","Weekday"
"25",0,"2012-10-01","200",2012-10-01,"Monday","Weekday"
"26",0,"2012-10-01","205",2012-10-01,"Monday","Weekday"
